SCALE,DPAWREGION,COMMUNITYNAME,COMMUNITYID,DESC,KNOWNOCC_NUM,KNOWNOCC_CAT,KNOWNOCC_NUMRELIAB,KNOWNOCC_TREND,KNOWNOCC_TRENDRELIAB,KNOWNOCC_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,DEGABIOTIC_EXTENTCAT,DEGABIOTIC_EXTENTTREND,DEGABIOTIC_SEVERITYCAT,DEGABIOTIC_SEVERITYTREND,DEGABIOTIC_RELIAB,DEGABIOTIC_NOTES,DEGBIOTIC_EXTENTCAT,DEGBIOTIC_EXTENTTREND,DEGBIOTIC_SEVERITYCAT,DEGBIOTIC_SEVERITYTREND,DEGBIOTIC_RELIAB,DEGBIOTIC_NOTES,BIOTICCOMP,ABIOTICCOMP,WETLAND,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTINGREASON,ENDEMISM,TENURE,MOSTRECENTSURVEY_COND,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,TT_LAST_UPDATED,TT_CHANGECONSSTATUS
AVW01,Midwest,Plant assemblages of the Billeranga System,Billeranga System,Melaleuca filifolia � Allocasuarina campestris thicket on clay sands over laterite on slopes and ridges; open mallee over mixed scrub on yellow sand over gravel on western slopes; Eucalyptus loxophleba woodland over sandy clay loam or rocky clay on lower slopes and creeklines; and mixed scrub or scrub dominated by Dodonaea inaequifolia over red/brown loamy soils on the slopes and ridges Melaleuca filifolia � Allocasuarina campestris thicket on clay sands over laterite on slopes and ridges; open mallee over mixed scrub on yellow sand over gravel on western slopes; Eucalyptus loxophleba woodland over sandy clay loam or rocky clay on lower slopes and creeklines; and mixed scrub or scrub dominated by Dodonaea inaequifolia over red/brown loamy soils on the slopes and ridges,6,Less than or equal to 10 (potentially meets location criteria VU),Quantitative unpublished data and expert opinion,Static (no change),Quantitative unpublished data and expert opinion,Geraldton Dist: one range of hills,9349,"< 10,000ha (potentially meets extent of occurrence criteria for CR) ",Minimum convex polygon of records in DPaW corporate database,Static (no change),Geraldton Dist,2461,"< 10,000ha (potentially meets area of occupancy criteria for CR)",Sum of mapped polygons,Static (no change),Geraldton Dist,< 5% area subject to pressures/threats,Static,Very high severity,Static,Expert opinion,Geraldton Dist,< 5% area subject to pressures/threats,Static,Very high severity,Static,Expert opinion,Geraldton Dist,Vascular plants,,,None,Vulnerable,2001,"VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in AOO, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified and is vulnerable to threatening processes , VN - A) exists largely as modified occurrences capable of being rehabilitated or restored, VN - B) restricted in area of occupancy, EOO or number of occurrences, can be modified ",AVW01,"DEC managed land - reserves IUCN I-IV, Other crown reserves, Freehold land, Other public lands - roads and water bodies",2008,,Geraldton Dist: soil erosion issues but some areas still have deep soil,Invasive/introduced herbivores (specify):,"grazing by rabbits, goats",Invasive/introduced herbivores (specify):,"grazing by rabbits, goats",2000,,,,IN vii) Small-scale survey of taxa,inventory of vertebrate and invertebrate fauna,EV iv) Develop/implement monitoring and evaluation and reporting plan,compare to 2008 quadrat survey  ,,,MD iv) Herbivore/omnivore control or eradication ,goat and rabbit control where approprate,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),encourage voluntary conservation coventants where appropriate,MI xiii) Education and awareness (specify),notification process for landholders (ecological communities),Notes from workshop: new IRP is low priority compared to other actions,,,,,
AVW01,Midwest,Plant assemblages of the Billeranga System,Billeranga System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erosion,,Erosion,,,,,,,,EV viii) Determine current condition (degree of biotic/abiotic degradation) of TECs/PECs and wetlands,"condition mapping of quadrats, additional quadrats if possible to determine condition",,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,,
AVW01,Midwest,Plant assemblages of the Billeranga System,Billeranga System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Livestock farming (specify),"clearing for tracks, fences and farm equipment movements; maintenance, grazing by stock",Livestock farming (specify),"clearing for tracks, fences and farm equipment movements; maintenance, grazing by stock",,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
AVW01,Midwest,Plant assemblages of the Billeranga System,Billeranga System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp):,,Weeds (specify dominant spp):,,,,,,,,,,,,,,MI xiv) Capacity building (specify),"provision of relevant information and advice for landholders (eg. grant applications, management)",,,,,,,,
AVW01,Midwest,Plant assemblages of the Billeranga System,Billeranga System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),liaison with private landholders,,,,,,,,
AVW01,Midwest,Plant assemblages of the Billeranga System,Billeranga System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xiv) Capacity building (specify),support NRM organisations,,,,,,,,
Western Australia,Midwest,Plant assemblages of the Inering System,Inering System,Allocasuarina campestris scrub over chert and granite; Allocasuarina campestris thicket with scattered Acacia acuminata and Allocasuarina huegeliana over brown sandy loam over stoney and lateritic summits and slopes; Acacia sp. mixed low woodland on red/brown sandy loam over granite on summits and slopes; Melaleuca cardiophylla thicket with scattered Eucalyptus loxophleba and Eucalyptus salmonophloia over granite on the lower slopes and foothills; and Eucalyptus loxophleba woodland over clay loam on the foothills.,41,Greater than 20 (does not meet IUCN location criteria),Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey/mapping),Quantitative unpublished data and expert opinion,Geraldton Dist,12267,"< 100,000ha (potentially meets extent of occurrence criteria for CR)",Minimum convex polygon of records in DPaW corporate database,Increased (new knowledge - biological survey),Geraldton Dist,806,"< 1,000ha (potentially meets area of occupancy criteria for CR)",Sum of mapped polygons,Increased (new knowledge - biological survey),Geraldton Dist,Unknown,Worsening condition (pressures > recovery actions),Unknown,Worsening condition (pressures > recovery actions),-,Geraldton Dist: decrease in condition over time,Unknown,Worsening condition (pressures > recovery actions),Unknown,Worsening condition (pressures > recovery actions),Expert opinion,"Geraldton Dist: decline in condition over time - ongoing threats, private land, not in conservation tenure",Vascular plants,,,None,Vulnerable,2001,VN - A) exists largely as modified occurrences capable of being rehabilitated or restored,AVW01,"Other crown reserves, Freehold land, Other public lands - roads and water bodies",,,Notes from workshop: check with S&C re most recent survey,Livestock farming (specify),"historic fragmentation, grazing pressure by sheep",Livestock farming (specify),"historic fragmentation, grazing pressure by sheep",2002,,,,,,EV iv) Develop/implement monitoring and evaluation and reporting plan,,CP ii) Threatened/priority ecological community recovery plan (specify),,MD vi) Habitat restoration (specify),fencing to exclude grazers (private property),MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with land holders, LGAs, NRM groups, catchment management groups",MI xiii) Education and awareness (specify),promotional materials,Notes from workshop: IRP is out of date but all PEC is on private property so v hard to manage,,,,,
Western Australia,Midwest,Plant assemblages of the Inering System,Inering System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp):,agricultural weeds,Weeds (specify dominant spp):,agricultural weeds,,,,,,,EV viii) Determine current condition (degree of biotic/abiotic degradation) of TECs/PECs and wetlands,determine current condition,,,,,MI x) Regulation - Native vegetation clearing/pollution,,MI xiii) Education and awareness (specify),notification process for landholders (ecological communities),,,,,,
Western Australia,Midwest,Plant assemblages of the Inering System,Inering System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salinity,"historic clearing for agriculture,  altered hydrology",Salinity,"historic clearing for agriculture,  altered hydrology",,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
Western Australia,Midwest,Plant assemblages of the Inering System,Inering System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fire regime (intensity, frequency, seasonality, scale)",,"Fire regime (intensity, frequency, seasonality, scale)",,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),encourage voluntary conservation coventants where appropriate,,,,,,,,
